Name,Value
Weight_SteerAngle_To_Target,-6.6143
Weight_Throttle_To_Target,9.0256
Weight_SonarBeam_SteerAngle_0,7.7473
Weight_SonarBeam_Throttle_0,4.2992
Weight_SonarBeam_SteerAngle_1,6.985
Weight_SonarBeam_Throttle_1,-3.4884
Weight_SonarBeam_SteerAngle_2,4.5577
Weight_SonarBeam_Throttle_2,6.1559
Weight_SonarBeam_SteerAngle_3,6.5118
Weight_SonarBeam_Throttle_3,4.8075
Weight_SonarBeam_SteerAngle_4,9.6431
Weight_SonarBeam_Throttle_4,-5.3784
Weight_SonarBeam_SteerAngle_5,6.4574
Weight_SonarBeam_Throttle_5,-2.8447
Weight_SonarBeam_SteerAngle_6,-6.2283
Weight_SonarBeam_Throttle_6,7.3221
Weight_SonarBeam_SteerAngle_7,8.4723
Weight_SonarBeam_Throttle_7,7.6617
Weight_SonarBeam_SteerAngle_8,-0.96231
Weight_SonarBeam_Throttle_8,-0.63378
Weight_SonarBeam_SteerAngle_9,-7.4562
Weight_SonarBeam_Throttle_9,-7.059
Weight_SonarBeam_SteerAngle_10,-8.7361
Weight_SonarBeam_Throttle_10,0.78444
Weight_SonarBeam_SteerAngle_11,8.8093
Weight_SonarBeam_Throttle_11,4.4979
Weight_SonarBeam_SteerAngle_12,-5.6252
Weight_SonarBeam_Throttle_12,4.4874
Weight_SonarBeam_SteerAngle_13,-7.6538
Weight_SonarBeam_Throttle_13,-9.0995
Weight_SonarBeam_SteerAngle_14,-3.2536
Weight_SonarBeam_Throttle_14,-7.2128
Weight_SonarBeam_SteerAngle_15,3.3115
Weight_SonarBeam_Throttle_15,-3.872
Weight_SonarBeam_SteerAngle_16,8.0162
Weight_SonarBeam_Throttle_16,-2.2958
Weight_SonarBeam_SteerAngle_17,8.7857
Weight_SonarBeam_Throttle_17,-9.8478
Weight_SonarBeam_SteerAngle_18,9.1564
Weight_SonarBeam_Throttle_18,-2.899
Weight_SonarBeam_SteerAngle_19,8.1842
Weight_SonarBeam_Throttle_19,-2.1605
Weight_SonarBeam_SteerAngle_20,-7.3208
Weight_SonarBeam_Throttle_20,4.7678
Weight_SonarBeam_SteerAngle_21,9.2501
Weight_SonarBeam_Throttle_21,2.6082
Weight_SonarBeam_SteerAngle_22,-8.8223
Weight_SonarBeam_Throttle_22,-1.8214
Weight_SonarBeam_SteerAngle_23,-7.9676
Weight_SonarBeam_Throttle_23,-5.7518
Weight_SonarBeam_SteerAngle_24,-1.5886
Weight_SonarBeam_Throttle_24,-2.3055
Weight_SonarBeam_SteerAngle_25,7.5127
Weight_SonarBeam_Throttle_25,-4.0465
Weight_SonarBeam_SteerAngle_26,2.1465
Weight_SonarBeam_Throttle_26,-1.8613
Weight_SonarBeam_SteerAngle_27,-6.6788
Weight_SonarBeam_Throttle_27,0.75421
Weight_SonarBeam_SteerAngle_28,1.6554
Weight_SonarBeam_Throttle_28,3.2107
Weight_SonarBeam_SteerAngle_29,4.4586
Weight_SonarBeam_Throttle_29,8.3
Weight_SonarBeam_SteerAngle_30,0.092737
Weight_SonarBeam_Throttle_30,0.91108
Weight_SonarBeam_SteerAngle_31,-6.6938
Weight_SonarBeam_Throttle_31,0.56048
Weight_SonarBeam_SteerAngle_32,2.3327
Weight_SonarBeam_Throttle_32,-0.85349
Weight_SonarBeam_SteerAngle_33,9.5001
Weight_SonarBeam_Throttle_33,-8.4575
Weight_SonarBeam_SteerAngle_34,-7.6249
Weight_SonarBeam_Throttle_34,2.9006
Weight_SonarBeam_SteerAngle_35,-2.6108
Weight_SonarBeam_Throttle_35,-4.9045
Weight_SonarBeam_SteerAngle_36,2.9332
Weight_SonarBeam_Throttle_36,-4.1313
Weight_SonarBeam_SteerAngle_37,-8.4912
Weight_SonarBeam_Throttle_37,-4.9661
Weight_SonarBeam_SteerAngle_38,-8.1875
Weight_SonarBeam_Throttle_38,-0.41488
Weight_SonarBeam_SteerAngle_39,-2.9982
Weight_SonarBeam_Throttle_39,-1.6888
Weight_SonarBeam_SteerAngle_40,-3.8249
Weight_SonarBeam_Throttle_40,-4.0364
Weight_SonarBeam_SteerAngle_41,-6.9204
Weight_SonarBeam_Throttle_41,5.8377
Weight_SonarBeam_SteerAngle_42,5.2628
Weight_SonarBeam_Throttle_42,-7.6474
Weight_SonarBeam_SteerAngle_43,-4.642
Weight_SonarBeam_Throttle_43,1.0407
Weight_SonarBeam_SteerAngle_44,-5.1176
Weight_SonarBeam_Throttle_44,-2.2423
Weight_SonarBeam_SteerAngle_45,5.8807
Weight_SonarBeam_Throttle_45,-2.392
Weight_SonarBeam_SteerAngle_46,7.1301
Weight_SonarBeam_Throttle_46,3.2471
Weight_SonarBeam_SteerAngle_47,-3.1485
Weight_SonarBeam_Throttle_47,-8.6051
Weight_SonarBeam_SteerAngle_48,4.3748
Weight_SonarBeam_Throttle_48,3.5747
Weight_SonarBeam_SteerAngle_49,2.0103
Weight_SonarBeam_Throttle_49,-7.4978
Weight_SonarBeam_SteerAngle_50,-7.3829
Weight_SonarBeam_Throttle_50,5.308
