Name,Value
Weight_SteerAngle_To_Target,5.8732
Weight_Throttle_To_Target,-0.36057
Weight_SonarBeam_SteerAngle_0,-4.6518
Weight_SonarBeam_Throttle_0,-5.9082
Weight_SonarBeam_SteerAngle_1,7.7031
Weight_SonarBeam_Throttle_1,-1.8035
Weight_SonarBeam_SteerAngle_2,-0.89604
Weight_SonarBeam_Throttle_2,-8.2384
Weight_SonarBeam_SteerAngle_3,-5.2599
Weight_SonarBeam_Throttle_3,-0.1761
Weight_SonarBeam_SteerAngle_4,-5.7109
Weight_SonarBeam_Throttle_4,-1.5721
Weight_SonarBeam_SteerAngle_5,4.3146
Weight_SonarBeam_Throttle_5,-9.2065
Weight_SonarBeam_SteerAngle_6,9.4237
Weight_SonarBeam_Throttle_6,0.52373
Weight_SonarBeam_SteerAngle_7,5.7432
Weight_SonarBeam_Throttle_7,-6.6379
Weight_SonarBeam_SteerAngle_8,6.2814
Weight_SonarBeam_Throttle_8,9.38
Weight_SonarBeam_SteerAngle_9,-5.6609
Weight_SonarBeam_Throttle_9,4.6772
Weight_SonarBeam_SteerAngle_10,2.4586
Weight_SonarBeam_Throttle_10,1.6577
Weight_SonarBeam_SteerAngle_11,7.6581
Weight_SonarBeam_Throttle_11,9.3482
Weight_SonarBeam_SteerAngle_12,0.91572
Weight_SonarBeam_Throttle_12,-6.9638
Weight_SonarBeam_SteerAngle_13,2.6631
Weight_SonarBeam_Throttle_13,4.7665
Weight_SonarBeam_SteerAngle_14,-5.3526
Weight_SonarBeam_Throttle_14,1.0214
Weight_SonarBeam_SteerAngle_15,-6.4013
Weight_SonarBeam_Throttle_15,-9.0906
Weight_SonarBeam_SteerAngle_16,7.8578
Weight_SonarBeam_Throttle_16,-6.1258
Weight_SonarBeam_SteerAngle_17,1.5902
Weight_SonarBeam_Throttle_17,-0.28983
Weight_SonarBeam_SteerAngle_18,-9.7705
Weight_SonarBeam_Throttle_18,3.6603
Weight_SonarBeam_SteerAngle_19,-9.5318
Weight_SonarBeam_Throttle_19,-6.4497
Weight_SonarBeam_SteerAngle_20,-7.6994
Weight_SonarBeam_Throttle_20,6.9558
Weight_SonarBeam_SteerAngle_21,-1.6828
Weight_SonarBeam_Throttle_21,-6.5383
Weight_SonarBeam_SteerAngle_22,-9.1091
Weight_SonarBeam_Throttle_22,7.5948
Weight_SonarBeam_SteerAngle_23,-7.2901
Weight_SonarBeam_Throttle_23,-3.3471
Weight_SonarBeam_SteerAngle_24,7.4088
Weight_SonarBeam_Throttle_24,-2.7364
Weight_SonarBeam_SteerAngle_25,-4.0821
Weight_SonarBeam_Throttle_25,2.7844
Weight_SonarBeam_SteerAngle_26,-1.1759
Weight_SonarBeam_Throttle_26,1.3342
Weight_SonarBeam_SteerAngle_27,-4.4867
Weight_SonarBeam_Throttle_27,0.97288
Weight_SonarBeam_SteerAngle_28,8.7964
Weight_SonarBeam_Throttle_28,4.2951
Weight_SonarBeam_SteerAngle_29,9.6787
Weight_SonarBeam_Throttle_29,7.2927
Weight_SonarBeam_SteerAngle_30,-0.21157
Weight_SonarBeam_Throttle_30,-3.3767
Weight_SonarBeam_SteerAngle_31,-8.862
Weight_SonarBeam_Throttle_31,-1.5711
Weight_SonarBeam_SteerAngle_32,-9.276
Weight_SonarBeam_Throttle_32,-7.8325
Weight_SonarBeam_SteerAngle_33,-2.2654
Weight_SonarBeam_Throttle_33,-8.0104
Weight_SonarBeam_SteerAngle_34,-6.1873
Weight_SonarBeam_Throttle_34,1.7988
Weight_SonarBeam_SteerAngle_35,-2.4737
Weight_SonarBeam_Throttle_35,-4.2672
Weight_SonarBeam_SteerAngle_36,9.5469
Weight_SonarBeam_Throttle_36,-3.1357
Weight_SonarBeam_SteerAngle_37,5.8429
Weight_SonarBeam_Throttle_37,-2.1098
Weight_SonarBeam_SteerAngle_38,2.6822
Weight_SonarBeam_Throttle_38,-0.56555
Weight_SonarBeam_SteerAngle_39,8.3329
Weight_SonarBeam_Throttle_39,-2.2338
Weight_SonarBeam_SteerAngle_40,5.0392
Weight_SonarBeam_Throttle_40,-3.1005
Weight_SonarBeam_SteerAngle_41,1.8864
Weight_SonarBeam_Throttle_41,-8.3764
Weight_SonarBeam_SteerAngle_42,5.668
Weight_SonarBeam_Throttle_42,1.6016
Weight_SonarBeam_SteerAngle_43,9.014
Weight_SonarBeam_Throttle_43,6.5895
Weight_SonarBeam_SteerAngle_44,6.5833
Weight_SonarBeam_Throttle_44,-5.2286
Weight_SonarBeam_SteerAngle_45,-9.4746
Weight_SonarBeam_Throttle_45,-5.1671
Weight_SonarBeam_SteerAngle_46,1.6399
Weight_SonarBeam_Throttle_46,-5.8493
Weight_SonarBeam_SteerAngle_47,1.5009
Weight_SonarBeam_Throttle_47,-3.5842
Weight_SonarBeam_SteerAngle_48,-6.2705
Weight_SonarBeam_Throttle_48,-2.0571
Weight_SonarBeam_SteerAngle_49,0.6334
Weight_SonarBeam_Throttle_49,5.8006
Weight_SonarBeam_SteerAngle_50,2.0211
Weight_SonarBeam_Throttle_50,-9.9951
Weight_SonarBeam_SteerAngle_51,5.6616
Weight_SonarBeam_Throttle_51,-4.3162
Weight_SonarBeam_SteerAngle_52,-9.4036
Weight_SonarBeam_Throttle_52,1.2602
Weight_SonarBeam_SteerAngle_53,-9.7622
Weight_SonarBeam_Throttle_53,-1.0219
Weight_SonarBeam_SteerAngle_54,-1.6864
Weight_SonarBeam_Throttle_54,-9.7034
Weight_SonarBeam_SteerAngle_55,9.4031
Weight_SonarBeam_Throttle_55,7.838
Weight_SonarBeam_SteerAngle_56,-0.98829
Weight_SonarBeam_Throttle_56,7.4078
Weight_SonarBeam_SteerAngle_57,7.0375
Weight_SonarBeam_Throttle_57,7.8408
Weight_SonarBeam_SteerAngle_58,0.36693
Weight_SonarBeam_Throttle_58,-7.4076
Weight_SonarBeam_SteerAngle_59,7.4012
Weight_SonarBeam_Throttle_59,-4.2963
Weight_SonarBeam_SteerAngle_60,3.9864
Weight_SonarBeam_Throttle_60,7.5262
Weight_SonarBeam_SteerAngle_61,5.6324
Weight_SonarBeam_Throttle_61,1.8796
Weight_SonarBeam_SteerAngle_62,-5.8064
Weight_SonarBeam_Throttle_62,1.1337
Weight_SonarBeam_SteerAngle_63,6.9216
Weight_SonarBeam_Throttle_63,-3.8363
Weight_SonarBeam_SteerAngle_64,-9.8123
Weight_SonarBeam_Throttle_64,4.839
Weight_SonarBeam_SteerAngle_65,4.8812
Weight_SonarBeam_Throttle_65,5.1371
Weight_SonarBeam_SteerAngle_66,1.083
Weight_SonarBeam_Throttle_66,-2.0119
Weight_SonarBeam_SteerAngle_67,4.7853
Weight_SonarBeam_Throttle_67,2.6671
Weight_SonarBeam_SteerAngle_68,-6.5267
Weight_SonarBeam_Throttle_68,4.7982
Weight_SonarBeam_SteerAngle_69,-9.9919
Weight_SonarBeam_Throttle_69,0.74931
Weight_SonarBeam_SteerAngle_70,-0.21017
Weight_SonarBeam_Throttle_70,-5.669
Weight_SonarBeam_SteerAngle_71,7.9925
Weight_SonarBeam_Throttle_71,-7.2389
Weight_SonarBeam_SteerAngle_72,7.0826
Weight_SonarBeam_Throttle_72,-1.0038
Weight_SonarBeam_SteerAngle_73,-0.045317
Weight_SonarBeam_Throttle_73,-9.1077
Weight_SonarBeam_SteerAngle_74,6.2143
Weight_SonarBeam_Throttle_74,-9.1274
Weight_SonarBeam_SteerAngle_75,-5.5935
Weight_SonarBeam_Throttle_75,-5.5477
Weight_SonarBeam_SteerAngle_76,-6.3334
Weight_SonarBeam_Throttle_76,9.1136
Weight_SonarBeam_SteerAngle_77,9.2667
Weight_SonarBeam_Throttle_77,-7.706
Weight_SonarBeam_SteerAngle_78,-2.0846
Weight_SonarBeam_Throttle_78,-9.5438
Weight_SonarBeam_SteerAngle_79,8.0034
Weight_SonarBeam_Throttle_79,3.5472
Weight_SonarBeam_SteerAngle_80,0.41226
Weight_SonarBeam_Throttle_80,5.4266
Weight_SonarBeam_SteerAngle_81,-6.578
Weight_SonarBeam_Throttle_81,-8.3968
Weight_SonarBeam_SteerAngle_82,2.2284
Weight_SonarBeam_Throttle_82,-2.5692
Weight_SonarBeam_SteerAngle_83,4.6531
Weight_SonarBeam_Throttle_83,-2.2479
Weight_SonarBeam_SteerAngle_84,-6.2311
Weight_SonarBeam_Throttle_84,5.3243
Weight_SonarBeam_SteerAngle_85,9.8973
Weight_SonarBeam_Throttle_85,-5.4859
Weight_SonarBeam_SteerAngle_86,-3.6915
Weight_SonarBeam_Throttle_86,-2.0846
Weight_SonarBeam_SteerAngle_87,-0.56206
Weight_SonarBeam_Throttle_87,7.0682
Weight_SonarBeam_SteerAngle_88,-3.4486
Weight_SonarBeam_Throttle_88,-6.132
Weight_SonarBeam_SteerAngle_89,0.16734
Weight_SonarBeam_Throttle_89,-5.4652
Weight_SonarBeam_SteerAngle_90,2.2819
Weight_SonarBeam_Throttle_90,-4.1768
Weight_SonarBeam_SteerAngle_91,-8.8501
Weight_SonarBeam_Throttle_91,-2.464
Weight_SonarBeam_SteerAngle_92,2.1145
Weight_SonarBeam_Throttle_92,-5.9083
Weight_SonarBeam_SteerAngle_93,-8.4667
Weight_SonarBeam_Throttle_93,-6.2612
Weight_SonarBeam_SteerAngle_94,-9.184
Weight_SonarBeam_Throttle_94,-7.6652
Weight_SonarBeam_SteerAngle_95,-2.4863
Weight_SonarBeam_Throttle_95,-4.4287
Weight_SonarBeam_SteerAngle_96,0.69238
Weight_SonarBeam_Throttle_96,8.5236
Weight_SonarBeam_SteerAngle_97,8.3067
Weight_SonarBeam_Throttle_97,8.5833
Weight_SonarBeam_SteerAngle_98,-0.37655
Weight_SonarBeam_Throttle_98,-1.0562
Weight_SonarBeam_SteerAngle_99,7.8695
Weight_SonarBeam_Throttle_99,1.0471
Weight_SonarBeam_SteerAngle_100,3.0476
Weight_SonarBeam_Throttle_100,-5.6374
Weight_SonarBeam_SteerAngle_101,-0.082146
Weight_SonarBeam_Throttle_101,-0.48193
Weight_SonarBeam_SteerAngle_102,8.4597
Weight_SonarBeam_Throttle_102,2.0949
Weight_SonarBeam_SteerAngle_103,-2.3366
Weight_SonarBeam_Throttle_103,-8.8615
Weight_SonarBeam_SteerAngle_104,1.729
Weight_SonarBeam_Throttle_104,1.3832
Weight_SonarBeam_SteerAngle_105,5.2316
Weight_SonarBeam_Throttle_105,-2.9575
Weight_SonarBeam_SteerAngle_106,2.3916
Weight_SonarBeam_Throttle_106,2.431
Weight_SonarBeam_SteerAngle_107,-2.9536
Weight_SonarBeam_Throttle_107,-2.4392
Weight_SonarBeam_SteerAngle_108,4.9373
Weight_SonarBeam_Throttle_108,-6.755
Weight_SonarBeam_SteerAngle_109,-1.3387
Weight_SonarBeam_Throttle_109,2.5112
Weight_SonarBeam_SteerAngle_110,9.3689
Weight_SonarBeam_Throttle_110,5.9689
Weight_SonarBeam_SteerAngle_111,4.8891
Weight_SonarBeam_Throttle_111,7.223
Weight_SonarBeam_SteerAngle_112,3.5784
Weight_SonarBeam_Throttle_112,-8.9353
Weight_SonarBeam_SteerAngle_113,3.5165
Weight_SonarBeam_Throttle_113,5.7591
Weight_SonarBeam_SteerAngle_114,-1.7367
Weight_SonarBeam_Throttle_114,7.7741
Weight_SonarBeam_SteerAngle_115,2.1199
Weight_SonarBeam_Throttle_115,-6.0894
Weight_SonarBeam_SteerAngle_116,-3.6634
Weight_SonarBeam_Throttle_116,-9.2655
Weight_SonarBeam_SteerAngle_117,8.9618
Weight_SonarBeam_Throttle_117,0.68187
Weight_SonarBeam_SteerAngle_118,0.12556
Weight_SonarBeam_Throttle_118,-2.2679
Weight_SonarBeam_SteerAngle_119,-7.3254
Weight_SonarBeam_Throttle_119,7.3112
Weight_SonarBeam_SteerAngle_120,9.5131
Weight_SonarBeam_Throttle_120,-6.4196
Weight_SonarBeam_SteerAngle_121,5.8516
Weight_SonarBeam_Throttle_121,2.1568
Weight_SonarBeam_SteerAngle_122,9.7192
Weight_SonarBeam_Throttle_122,9.9482
Weight_SonarBeam_SteerAngle_123,5.4314
Weight_SonarBeam_Throttle_123,6.4033
Weight_SonarBeam_SteerAngle_124,-9.8057
Weight_SonarBeam_Throttle_124,9.9232
Weight_SonarBeam_SteerAngle_125,8.1625
Weight_SonarBeam_Throttle_125,-4.4115
Weight_SonarBeam_SteerAngle_126,9.0955
Weight_SonarBeam_Throttle_126,2.0094
Weight_SonarBeam_SteerAngle_127,1.6977
Weight_SonarBeam_Throttle_127,5.3693
Weight_SonarBeam_SteerAngle_128,1.348
Weight_SonarBeam_Throttle_128,2.2872
Weight_SonarBeam_SteerAngle_129,0.62373
Weight_SonarBeam_Throttle_129,0.94606
Weight_SonarBeam_SteerAngle_130,-2.5673
Weight_SonarBeam_Throttle_130,-1.8326
Weight_SonarBeam_SteerAngle_131,7.0062
Weight_SonarBeam_Throttle_131,-9.4931
Weight_SonarBeam_SteerAngle_132,-2.7577
Weight_SonarBeam_Throttle_132,9.9167
Weight_SonarBeam_SteerAngle_133,-5.2413
Weight_SonarBeam_Throttle_133,-8.0377
Weight_SonarBeam_SteerAngle_134,-2.7488
Weight_SonarBeam_Throttle_134,-6.6683
Weight_SonarBeam_SteerAngle_135,7.484
Weight_SonarBeam_Throttle_135,1.3586
Weight_SonarBeam_SteerAngle_136,7.0281
Weight_SonarBeam_Throttle_136,1.9713
Weight_SonarBeam_SteerAngle_137,-8.243
Weight_SonarBeam_Throttle_137,2.4887
Weight_SonarBeam_SteerAngle_138,-5.7111
Weight_SonarBeam_Throttle_138,7.7075
Weight_SonarBeam_SteerAngle_139,7.4878
Weight_SonarBeam_Throttle_139,4.4716
Weight_SonarBeam_SteerAngle_140,8.5158
Weight_SonarBeam_Throttle_140,2.2454
Weight_SonarBeam_SteerAngle_141,4.0124
Weight_SonarBeam_Throttle_141,8.2084
Weight_SonarBeam_SteerAngle_142,-7.2347
Weight_SonarBeam_Throttle_142,-1.393
Weight_SonarBeam_SteerAngle_143,0.5837
Weight_SonarBeam_Throttle_143,-0.80542
Weight_SonarBeam_SteerAngle_144,-6.9744
Weight_SonarBeam_Throttle_144,-3.1298
Weight_SonarBeam_SteerAngle_145,0.03956
Weight_SonarBeam_Throttle_145,-3.4381
Weight_SonarBeam_SteerAngle_146,5.1836
Weight_SonarBeam_Throttle_146,6.8074
Weight_SonarBeam_SteerAngle_147,9.4915
Weight_SonarBeam_Throttle_147,-6.2447
Weight_SonarBeam_SteerAngle_148,-9.8871
Weight_SonarBeam_Throttle_148,9.4868
Weight_SonarBeam_SteerAngle_149,4.8699
Weight_SonarBeam_Throttle_149,2.7168
Weight_SonarBeam_SteerAngle_150,4.3417
Weight_SonarBeam_Throttle_150,7.395
Weight_SonarBeam_SteerAngle_151,-9.3126
Weight_SonarBeam_Throttle_151,-6.6498
Weight_SonarBeam_SteerAngle_152,-2.5271
Weight_SonarBeam_Throttle_152,7.5075
Weight_SonarBeam_SteerAngle_153,3.5643
Weight_SonarBeam_Throttle_153,-5.875
Weight_SonarBeam_SteerAngle_154,4.5743
Weight_SonarBeam_Throttle_154,6.4821
Weight_SonarBeam_SteerAngle_155,7.7465
Weight_SonarBeam_Throttle_155,-2.7359
Weight_SonarBeam_SteerAngle_156,-4.4673
Weight_SonarBeam_Throttle_156,-7.1878
Weight_SonarBeam_SteerAngle_157,1.0389
Weight_SonarBeam_Throttle_157,-4.7103
Weight_SonarBeam_SteerAngle_158,-8.5087
Weight_SonarBeam_Throttle_158,5.8007
Weight_SonarBeam_SteerAngle_159,1.1116
Weight_SonarBeam_Throttle_159,-9.6123
Weight_SonarBeam_SteerAngle_160,-1.4946
Weight_SonarBeam_Throttle_160,-7.4902
Weight_SonarBeam_SteerAngle_161,-0.9359
Weight_SonarBeam_Throttle_161,-5.0874
Weight_SonarBeam_SteerAngle_162,-5.1031
Weight_SonarBeam_Throttle_162,5.9777
Weight_SonarBeam_SteerAngle_163,3.6539
Weight_SonarBeam_Throttle_163,-0.93877
Weight_SonarBeam_SteerAngle_164,-9.5041
Weight_SonarBeam_Throttle_164,-1.8705
Weight_SonarBeam_SteerAngle_165,1.0123
Weight_SonarBeam_Throttle_165,-8.9658
Weight_SonarBeam_SteerAngle_166,-7.5001
Weight_SonarBeam_Throttle_166,1.4646
Weight_SonarBeam_SteerAngle_167,-4.2667
Weight_SonarBeam_Throttle_167,1.3246
Weight_SonarBeam_SteerAngle_168,-6.9692
Weight_SonarBeam_Throttle_168,-1.5137
Weight_SonarBeam_SteerAngle_169,2.4391
Weight_SonarBeam_Throttle_169,-6.6937
Weight_SonarBeam_SteerAngle_170,5.3159
Weight_SonarBeam_Throttle_170,-9.0742
Weight_SonarBeam_SteerAngle_171,3.1675
Weight_SonarBeam_Throttle_171,8.8562
Weight_SonarBeam_SteerAngle_172,-3.0381
Weight_SonarBeam_Throttle_172,1.1132
